year,modelId,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,horsepower_engine,torque_engine,highway_mpg,city_mpg,make,condition,bodyStyle,configuration_engine,type_engine,name_transmission,drivenWheels,market_categories
2015,1320.0,41478.0,16699,4.0,2.0,240.0,255.0,35.0,23.0,3,2,1,3,4,9,3,55
2021,944.0,9003.0,37999,6.0,3.5,375.0,470.0,23.0,17.0,11,2,7,0,4,0,3,59
2020,894.0,107436.0,23999,8.0,5.7,381.0,401.0,17.0,13.0,37,2,8,0,4,5,1,59
2020,894.0,74457.0,29199,8.0,5.7,381.0,401.0,17.0,13.0,37,2,8,0,4,5,1,59
2022,975.0,24343.0,17999,3.0,1.5,181.0,190.0,34.0,28.0,11,2,7,3,4,9,2,0
2021,880.0,32229.0,24199,4.0,2.5,203.0,184.0,33.0,27.0,37,2,7,3,4,9,0,0
2021,1506.0,26714.0,28199,8.0,5.6,400.0,413.0,21.0,15.0,28,2,8,0,4,10,3,59
2019,862.0,41640.0,22139,4.0,1.5,205.0,192.0,38.0,28.0,14,2,6,3,4,6,2,9
2020,1058.0,55791.0,12995,4.0,2.0,147.0,132.0,40.0,30.0,15,2,6,3,4,11,2,59
2020,2333.0,25918.0,26599,4.0,2.0,237.0,258.0,32.0,23.0,6,2,6,3,4,0,3,30
2018,906.0,85333.0,19499,4.0,2.7,159.0,180.0,23.0,20.0,37,2,8,3,4,5,3,59
2019,2172.0,30949.0,24179,4.0,2.0,248.0,273.0,34.0,23.0,2,2,6,3,4,7,0,44
2008,994.0,59578.0,27999,8.0,5.4,500.0,480.0,20.0,14.0,11,2,1,0,4,6,3,6
2021,2371.0,38787.0,23399,3.0,1.5,181.0,190.0,28.0,25.0,11,2,7,3,4,9,0,0
2022,1512.0,44493.0,16499,4.0,2.0,149.0,146.0,39.0,29.0,28,2,6,3,4,11,2,59
2020,906.0,76549.0,20899,4.0,2.7,159.0,180.0,23.0,20.0,37,2,8,3,4,5,3,59
2022,1058.0,30949.0,16999,4.0,2.0,147.0,132.0,41.0,31.0,15,2,6,3,4,11,2,59
2018,957.0,84442.0,22989,,,,,,,11,2,8,0,4,13,1,3
2023,1729.0,15904.0,21899,4.0,2.5,187.0,178.0,32.0,25.0,19,2,7,3,4,9,2,0
2020,1711.0,53849.0,29249,6.0,3.6,305.0,269.0,24.0,19.0,32,2,8,0,6,9,1,3
2022,1657.0,13698.0,25999,4.0,2.0,184.0,221.0,28.0,21.0,38,2,7,3,4,9,0,0
2021,909.0,55182.0,14799,4.0,1.8,139.0,126.0,38.0,30.0,37,2,6,3,4,11,2,59
2013,1335.0,88602.0,10749,4.0,2.0,240.0,260.0,32.0,22.0,3,2,6,3,4,9,0,30
