year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2020,Ford,used,957.0,truck,78633.0,27199,,,V,,,,,RWD,"Flex Fuel,Diesel",,,3
2019,Lexus,used,1917.0,suv,38902.0,28591,6.0,3.5,V,295.0,268.0,gas,8A,FWD,"Luxury,Crossover",27.0,20.0,3
2020,Jeep,used,1412.0,suv,36072.0,17809,4.0,2.4,inline,180.0,175.0,gas,6A,FWD,Crossover,31.0,22.0,2
2022,Volkswagen,used,2066.0,hatchback,11921.0,30443,4.0,2.0,inline,241.0,273.0,gas,6M,FWD,"Performance,Hatchback",34.0,24.0,3
2019,Dodge,used,1419.0,suv,48447.0,32540,8.0,5.7,V,360.0,390.0,gas,8A,RWD,"Crossover,Performance",22.0,14.0,3
2019,Honda,used,862.0,sedan,74562.0,15599,4.0,2.0,inline,158.0,138.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2021,Ford,used,969.0,coupe,39174.0,36999,8.0,5.0,V,460.0,420.0,gas,6M,RWD,Performance,24.0,15.0,3
2019,Toyota,used,2182.0,crossover,70413.0,17899,4.0,2.0,inline,144.0,139.0,gas,Continuously Variable,FWD,Crossover,31.0,27.0,2
2019,Honda,used,862.0,sedan,46061.0,18699,4.0,2.0,inline,158.0,138.0,gas,Continuously Variable,FWD,,37.0,29.0,2
2018,Honda,used,862.0,hatchback,64860.0,18639,4.0,1.5,inline,180.0,177.0,gas,6M,FWD,"Performance,Hatchback",38.0,29.0,2
2020,Honda,used,862.0,sedan,25412.0,20369,4.0,2.0,inline,158.0,138.0,gas,Continuously Variable,FWD,,37.0,29.0,2
2021,Hyundai,used,1058.0,sedan,33285.0,15699,4.0,2.0,inline,147.0,132.0,gas,Continuously Variable,FWD,,41.0,31.0,2
2020,Acura,used,2060.0,sedan,58680.0,25999,4.0,2.4,inline,206.0,182.0,gas,8A,FWD,Luxury,32.0,23.0,3
2020,Honda,used,856.0,sedan,57102.0,21399,4.0,1.5,inline,192.0,192.0,gas,Continuously Variable,FWD,Performance,35.0,29.0,2
2019,Nissan,used,2178.0,crossover,27069.0,19999,4.0,2.0,inline,176.0,262.0,hybrid,Continuously Variable,FWD,"Hybrid,Crossover",35.0,33.0,2
2012,Volvo,used,1783.0,hatchback,79699.0,10286,5.0,2.5,inline,227.0,236.0,gas,6M,FWD,,29.0,21.0,1
2023,Chevrolet,new,1238.0,truck,3.0,43165,4.0,2.7,inline,237.0,260.0,gas,8A,AWD,,23.0,19.0,4
2024,Chevrolet,new,1270.0,coupe,2.0,73530,8.0,6.2,V,490.0,465.0,gas,8A,RWD,High-Performance,25.0,16.0,6
2016,Toyota,used,883.0,sedan,62336.0,17951,4.0,2.5,inline,178.0,170.0,gas,6A,FWD,,35.0,25.0,2
2022,Lexus,used,1916.0,sedan,10191.0,44981,4.0,2.5,inline,215.0,,hybrid,Continuously Variable,FWD,"Luxury,Hybrid",44.0,43.0,4
2023,Ford,new,938.0,suv,2.0,49745,4.0,2.3,inline,300.0,325.0,gas,,AWD,,,,4
2023,Ford,new,2441.0,truck,5.0,73285,0.0,,,,,electric,1D,AWD,,,,6
2006,Honda,used,865.0,suv,90452.0,8871,6.0,3.5,V,244.0,240.0,gas,5A,FWD,Crossover,22.0,16.0,1
2023,Hyundai,new,1056.0,suv,5.0,33310,4.0,2.5,inline,191.0,181.0,gas,8A,FWD,Crossover,28.0,25.0,3
2021,Tesla,used,2357.0,crossover,34491.0,33998,0.0,,,,,electric,1D,RWD,"Luxury,Crossover,Performance",,,3
2019,Lexus,used,1917.0,suv,30460.0,33400,6.0,3.5,V,295.0,268.0,gas,8A,FWD,"Luxury,Crossover",27.0,20.0,3
2016,Toyota,used,894.0,truck,150100.0,25750,8.0,5.7,V,381.0,401.0,flex-fuel (FFV),6A,AWD,Flex Fuel,17.0,13.0,3
2024,Honda,new,857.0,minivan,,44243,6.0,3.5,V,280.0,262.0,gas,10A,FWD,,28.0,19.0,4
2024,Honda,new,862.0,sedan,5.0,26645,4.0,2.0,inline,158.0,138.0,gas,Continuously Variable,FWD,,37.0,30.0,3
2024,Ford,new,969.0,coupe,14.0,37245,4.0,2.3,inline,,,gas,10A,RWD,Performance,33.0,22.0,3
2022,Ram,used,1715.0,truck,44119.0,39494,8.0,6.4,V,410.0,429.0,gas,8A,AWD,Diesel,,,4
2023,Ford,new,2371.0,suv,2.0,29615,3.0,1.5,inline,181.0,190.0,gas,8A,AWD,Crossover,28.0,25.0,3
2023,Ford,new,938.0,suv,18.0,72045,,,,,,gas,,AWD,,,,6
2022,Honda,used,864.0,sedan,11089.0,24997,4.0,1.5,inline,151.0,,hybrid,Continuously Variable,FWD,Hybrid,49.0,55.0,2
2024,Acura,new,1349.0,hatchback,,37545,4.0,1.5,inline,200.0,192.0,gas,6M,FWD,"Luxury,Hatchback",36.0,26.0,4
2018,Chevrolet,certified pre-owned,1252.0,suv,49596.0,20989,4.0,1.5,inline,170.0,203.0,gas,6A,FWD,Crossover,32.0,26.0,2
2020,Honda,certified pre-owned,856.0,sedan,27638.0,21176,4.0,1.5,inline,192.0,192.0,gas,Continuously Variable,FWD,Performance,38.0,30.0,2
2019,Volkswagen,used,2173.0,suv,41108.0,26999,6.0,3.6,V,276.0,266.0,gas,8A,FWD,Crossover,24.0,17.0,3
2024,Honda,new,867.0,suv,12.0,31981,4.0,1.5,inline,190.0,179.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,3
2024,Honda,new,2352.0,suv,12.0,36082,4.0,2.0,inline,204.0,,hybrid,Electrically Variable,FWD,"Hybrid,Crossover",36.0,43.0,3
2024,Honda,new,857.0,minivan,12.0,43134,6.0,3.5,V,280.0,262.0,gas,10A,FWD,,28.0,19.0,4
2024,Honda,new,865.0,suv,12.0,42120,6.0,3.5,V,285.0,262.0,gas,10A,FWD,Crossover,27.0,19.0,4
2024,Volkswagen,new,2173.0,suv,5.0,45256,4.0,2.0,inline,269.0,273.0,gas,8A,FWD,"Crossover,Performance",27.0,20.0,4
2024,Volkswagen,new,2350.0,suv,5.0,41669,4.0,2.0,inline,269.0,273.0,gas,8A,FWD,"Crossover,Performance",27.0,20.0,4
2024,Volkswagen,new,1657.0,suv,5.0,33047,4.0,2.0,inline,184.0,221.0,gas,8A,FWD,Crossover,30.0,23.0,3
2016,Toyota,used,906.0,truck,46895.0,25000,6.0,3.5,V,278.0,265.0,gas,6A,RWD,,24.0,19.0,3
2021,Jeep,used,1403.0,suv,65282.0,34999,6.0,3.6,V,285.0,260.0,gas,6M,AWD,"Hybrid,Diesel",23.0,17.0,3
2019,Jeep,used,1408.0,suv,103255.0,14445,4.0,2.4,inline,180.0,171.0,gas,9A,FWD,Crossover,31.0,22.0,2
2023,Nissan,used,1497.0,hatchback,13025.0,22995,0.0,,,,,electric,1D,FWD,Hatchback,,,2
2023,Dodge,new,1440.0,coupe,,43002,8.0,5.7,V,375.0,410.0,gas,6M,RWD,High-Performance,23.0,15.0,4
2023,Ford,new,975.0,suv,84.0,41040,4.0,2.0,inline,250.0,280.0,gas,8A,AWD,Crossover,31.0,23.0,4
2021,Honda,used,867.0,suv,50062.0,24888,4.0,1.5,inline,190.0,179.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,2
2022,Nissan,certified pre-owned,1491.0,suv,37251.0,28999,6.0,3.5,V,284.0,259.0,gas,9A,FWD,Crossover,26.0,21.0,3
2023,Ford,new,957.0,truck,2.0,69320,,,V,,,,10A,AWD,,,,6
2017,Toyota,used,894.0,truck,153121.0,24907,8.0,5.7,V,381.0,401.0,flex-fuel (FFV),6A,AWD,Flex Fuel,17.0,13.0,2
2020,Nissan,used,1516.0,sedan,32529.0,15798,4.0,1.6,inline,122.0,114.0,gas,5M,FWD,,35.0,27.0,2
2024,Cadillac,new,2300.0,suv,11.0,64640,6.0,3.6,V,310.0,271.0,gas,9A,AWD,"Luxury,Crossover",25.0,18.0,6
2024,GMC,new,1145.0,truck,12.0,72560,,,,,,,,,,,,6
2019,Ford,used,2252.0,suv,59917.0,39498,6.0,3.5,V,400.0,480.0,gas,10A,RWD,Performance,23.0,17.0,4
2022,Ford,used,981.0,truck,74375.0,65678,8.0,,V,,,,10A,AWD,,,,6
2022,GMC,used,1145.0,truck,22394.0,45941,8.0,5.3,V,355.0,383.0,gas,10A,RWD,"Diesel,Performance",21.0,16.0,4
2023,Toyota,certified pre-owned,883.0,sedan,39592.0,24772,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,2
2022,Toyota,certified pre-owned,909.0,sedan,16356.0,20483,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2018,Mitsubishi,used,1821.0,crossover,74050.0,13812,4.0,2.0,inline,148.0,145.0,gas,,FWD,Crossover,,,2
2023,Toyota,new,2563.0,sedan,5.0,40048,4.0,2.5,inline,236.0,,hybrid,Continuously Variable,AWD,Hybrid,41.0,42.0,4
2018,Ford,used,963.0,sedan,75935.0,11168,3.0,1.0,inline,123.0,123.0,gas,6M,FWD,,40.0,30.0,1
2024,Toyota,new,883.0,sedan,10.0,29577,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,3
2014,Nissan,used,1491.0,suv,139850.0,10000,6.0,3.5,V,260.0,240.0,gas,Continuously Variable,FWD,Crossover,26.0,20.0,1
2024,Toyota,new,911.0,minivan,10.0,50149,4.0,2.5,inline,245.0,,hybrid,Continuously Variable,AWD,Hybrid,36.0,35.0,5
2019,Toyota,certified pre-owned,886.0,suv,39055.0,31481,6.0,3.5,V,295.0,263.0,gas,8A,FWD,Crossover,27.0,21.0,3
2024,Toyota,new,894.0,truck,10.0,59963,6.0,3.5,V,389.0,479.0,gas,10A,AWD,,23.0,17.0,5
2024,Toyota,new,894.0,truck,10.0,67909,6.0,3.5,V,389.0,479.0,gas,10A,AWD,,22.0,17.0,6
2024,Toyota,new,894.0,truck,14.0,74449,6.0,3.5,V,437.0,583.0,hybrid,10A,AWD,Hybrid,22.0,19.0,6
2015,Toyota,used,909.0,sedan,149305.0,11497,4.0,1.8,inline,132.0,128.0,gas,,FWD,,,,1
2004,Toyota,used,908.0,suv,234195.0,10000,6.0,4.0,V,245.0,282.0,gas,4A,AWD,,19.0,15.0,1
2023,Toyota,new,908.0,suv,14.0,53439,6.0,4.0,V,270.0,278.0,gas,5A,AWD,,19.0,16.0,5
2022,Ford,used,957.0,truck,36151.0,54989,,,V,,,,10A,AWD,,,,5
2019,Chevrolet,used,1238.0,truck,72697.0,20888,,,,,,gas,,RWD,Diesel,,,2
2023,Toyota,new,906.0,truck,10.0,39252,6.0,3.5,V,278.0,265.0,gas,6A,RWD,,24.0,19.0,4
2024,Toyota,new,883.0,sedan,10.0,29626,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,3
2024,Toyota,new,883.0,sedan,14.0,30727,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,3
2022,Toyota,used,889.0,suv,54289.0,35998,4.0,2.5,inline,243.0,,hybrid,Continuously Variable,FWD,"Hybrid,Crossover",35.0,36.0,3
2023,Toyota,used,2157.0,hatchback,9586.0,37998,4.0,2.0,inline,220.0,,plug-in hybrid,Continuously Variable,FWD,,,,4
2016,Ford,used,999.0,truck,70301.0,44888,8.0,6.2,V,385.0,405.0,flex-fuel (FFV),6A,AWD,"Flex Fuel,Diesel",,,4
2024,Honda,new,2352.0,suv,2.0,37552,4.0,2.0,inline,204.0,,hybrid,Electrically Variable,AWD,"Hybrid,Crossover",34.0,40.0,4
2011,Ford,used,987.0,passenger_cargo_van,39972.0,21500,8.0,5.4,V,255.0,350.0,flex-fuel (FFV),4A,RWD,Flex Fuel,15.0,11.0,2
2021,Ford,used,2325.0,passenger_cargo_van,23425.0,37995,6.0,3.5,V,275.0,262.0,flex-fuel (FFV),10A,RWD,Flex Fuel,,,4
2021,Ford,used,2325.0,passenger_cargo_van,20007.0,37995,,,,,,,,,,,,4
2016,Ford,used,998.0,minivan,88605.0,15995,4.0,2.5,inline,169.0,171.0,gas,6A,FWD,,28.0,20.0,2
2024,Honda,new,2352.0,suv,2.0,33322,4.0,2.0,inline,204.0,,hybrid,Electrically Variable,FWD,"Hybrid,Crossover",36.0,43.0,3
2020,Chevrolet,used,1268.0,suv,50406.0,34888,6.0,3.6,V,305.0,260.0,gas,9A,FWD,Crossover,27.0,18.0,3
2023,Chevrolet,new,1276.0,suv,10.0,69835,8.0,5.3,V,355.0,383.0,gas,10A,AWD,"Diesel,Performance",20.0,15.0,6
2024,Chevrolet,new,1254.0,truck,1.0,66585,8.0,6.6,V,401.0,464.0,gas,10A,AWD,Diesel,,,6
2024,Chevrolet,new,1279.0,truck,5.0,54535,,,,,,,,,,,,5
2024,Chevrolet,new,1279.0,truck,5.0,54535,,,,,,,,,,,,5
2024,Chevrolet,new,1279.0,truck,1.0,54035,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,5
2024,Nissan,new,1511.0,sedan,4.0,30886,4.0,2.5,inline,188.0,180.0,gas,Continuously Variable,FWD,,37.0,27.0,3
2019,Nissan,used,1494.0,minivan,87701.0,16134,4.0,2.0,inline,131.0,139.0,gas,Continuously Variable,FWD,,26.0,24.0,2
2024,Chevrolet,new,1210.0,suv,1.0,45125,6.0,3.6,V,308.0,270.0,gas,9A,FWD,"Crossover,Performance",26.0,19.0,4
2019,Nissan,used,1487.0,crossover,44999.0,16799,4.0,2.5,inline,170.0,175.0,gas,Continuously Variable,AWD,Crossover,32.0,25.0,2
2024,Ford,new,969.0,coupe,25.0,93659,8.0,5.0,V,,,gas,6M,RWD,"Factory Tuner,High-Performance",22.0,14.0,8
2024,Lexus,new,1917.0,suv,,66000,4.0,2.4,inline,275.0,317.0,gas,8A,AWD,"Luxury,Crossover",28.0,21.0,6
2024,Lexus,new,2466.0,crossover,,53020,4.0,2.5,inline,240.0,,hybrid,Continuously Variable,AWD,"Luxury,Hybrid,Crossover",37.0,41.0,5
2024,Lexus,new,2466.0,crossover,,49435,4.0,2.5,inline,240.0,,hybrid,Continuously Variable,AWD,"Luxury,Hybrid,Crossover",37.0,41.0,4
2016,Lexus,used,1917.0,suv,103508.0,24599,6.0,3.5,V,295.0,267.0,gas,8A,FWD,"Luxury,Crossover",28.0,20.0,2
2024,Lexus,new,1917.0,suv,13.0,53365,4.0,2.4,inline,275.0,317.0,gas,8A,FWD,"Luxury,Crossover",29.0,22.0,5
2024,Chevrolet,new,1279.0,truck,5.0,54530,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,5
2024,Chevrolet,new,1276.0,suv,1.0,70265,,,,,,,,,,,,6
2022,Volkswagen,used,2173.0,suv,15428.0,35888,6.0,3.6,V,276.0,266.0,gas,8A,FWD,"Crossover,Performance",24.0,18.0,3
2024,Chevrolet,new,1279.0,truck,1.0,63410,4.0,2.7,inline,310.0,430.0,gas,8A,AWD,Diesel,20.0,15.0,6
2024,Chevrolet,new,1279.0,truck,1.0,46445,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,4
2024,Chevrolet,new,1279.0,truck,1.0,63600,8.0,5.3,V,355.0,383.0,gas,10A,RWD,"Diesel,Performance",21.0,16.0,6
2023,Chevrolet,new,1279.0,truck,6.0,57855,8.0,5.3,V,355.0,383.0,gas,10A,RWD,"Diesel,Performance",21.0,17.0,5
2024,Chevrolet,new,1279.0,truck,1.0,54035,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,5
2022,Ram,used,1715.0,truck,26565.0,53077,8.0,6.4,V,410.0,429.0,gas,8A,AWD,Diesel,,,5
2024,Chevrolet,new,1279.0,truck,1.0,84940,6.0,3.0,inline,305.0,495.0,diesel,10A,AWD,Diesel,22.0,20.0,7
2023,Chevrolet,used,1279.0,truck,1921.0,69888,8.0,6.2,V,420.0,460.0,gas,10A,AWD,,17.0,14.0,6
2024,Chevrolet,used,1210.0,suv,3148.0,39998,4.0,2.0,inline,228.0,258.0,gas,9A,FWD,Crossover,29.0,22.0,4
2023,Ford,new,957.0,truck,4.0,56849,6.0,,V,,,,10A,RWD,,,,5
2023,Ford,new,955.0,suv,23.0,42104,4.0,2.0,inline,250.0,280.0,gas,8A,AWD,"Crossover,Performance",28.0,21.0,4
2023,Ford,new,957.0,truck,7.0,106185,6.0,3.5,V,450.0,510.0,gas,10A,AWD,Factory Tuner,18.0,15.0,
2023,Lincoln,new,1193.0,suv,3.0,62588,6.0,3.0,V,400.0,415.0,gas,10A,RWD,"Luxury,Crossover,Performance",26.0,18.0,6
2023,Lincoln,new,1193.0,suv,3.0,72116,6.0,3.0,V,400.0,415.0,gas,10A,AWD,"Luxury,Crossover,Performance",24.0,17.0,6
2020,Honda,used,856.0,sedan,23128.0,25538,4.0,1.5,inline,192.0,192.0,gas,Continuously Variable,FWD,Performance,38.0,30.0,3
2021,Honda,used,856.0,sedan,14109.0,24718,4.0,1.5,inline,192.0,192.0,gas,Continuously Variable,FWD,Performance,38.0,30.0,2
2020,Honda,certified pre-owned,2092.0,crossover,41951.0,18746,4.0,1.8,inline,141.0,127.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,2
2022,Honda,certified pre-owned,2092.0,crossover,6814.0,22803,4.0,1.8,inline,141.0,127.0,gas,Continuously Variable,AWD,Crossover,31.0,26.0,2
2024,Honda,new,2352.0,suv,11.0,41630,4.0,2.0,inline,204.0,,hybrid,Electrically Variable,AWD,"Hybrid,Crossover",34.0,40.0,4
2024,Honda,new,867.0,suv,7.0,31280,4.0,1.5,inline,190.0,179.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,3
2024,Honda,new,867.0,suv,5.0,32780,4.0,1.5,inline,190.0,179.0,gas,Continuously Variable,AWD,Crossover,32.0,27.0,3
2020,Honda,used,867.0,suv,21922.0,25385,4.0,1.5,inline,190.0,179.0,gas,Continuously Variable,FWD,Crossover,34.0,28.0,3
2022,Acura,used,2060.0,sedan,4382.0,34311,4.0,2.0,inline,272.0,280.0,gas,10A,FWD,"Luxury,Performance",30.0,22.0,3
2024,Honda,new,2352.0,suv,7.0,39980,4.0,2.0,inline,204.0,,hybrid,Electrically Variable,AWD,"Hybrid,Crossover",34.0,40.0,4
2021,Ford,used,2252.0,suv,78022.0,33500,6.0,3.5,V,375.0,470.0,gas,10A,RWD,Performance,23.0,17.0,3
2023,Chevrolet,new,1268.0,suv,1.0,38582,6.0,3.6,V,310.0,266.0,gas,9A,FWD,Crossover,27.0,18.0,4
2020,Nissan,used,2248.0,crossover,62451.0,16885,4.0,1.6,inline,122.0,114.0,gas,Continuously Variable,FWD,Hatchback,36.0,31.0,2
2022,Toyota,used,894.0,truck,22582.0,41465,6.0,3.5,V,348.0,405.0,gas,10A,AWD,,23.0,17.0,4
2023,Chevrolet,new,1279.0,truck,1.0,46784,4.0,2.7,inline,310.0,430.0,gas,8A,AWD,Diesel,21.0,18.0,4
2024,Chevrolet,new,1279.0,truck,3.0,43290,,,,,,,,,,,,4
2023,Jeep,used,1412.0,suv,10198.0,24995,4.0,2.0,inline,200.0,221.0,gas,8A,AWD,Crossover,32.0,24.0,2
2019,Subaru,used,1076.0,crossover,45633.0,23499,4.0,2.0,flat,152.0,145.0,gas,Continuously Variable,AWD,Crossover,33.0,27.0,2
2023,Subaru,used,1089.0,crossover,5738.0,29999,4.0,2.5,flat,182.0,176.0,gas,Continuously Variable,AWD,Crossover,33.0,26.0,3
2023,Chevrolet,new,1240.0,suv,150.0,75495,8.0,5.3,V,355.0,383.0,gas,10A,AWD,"Diesel,Performance",19.0,15.0,7
2023,Nissan,new,1501.0,truck,,35127,6.0,3.8,V,310.0,281.0,gas,9A,RWD,,24.0,18.0,3
2021,Ford,used,957.0,truck,20354.0,56874,,,V,,,,10A,AWD,,,,5
2023,Ford,new,957.0,truck,3.0,60680,,,V,,,flex-fuel (FFV),10A,AWD,,,,5
2015,Mitsubishi,used,1798.0,hatchback,53640.0,7892,3.0,1.2,inline,74.0,74.0,gas,,FWD,Hatchback,,,1
2023,Chevrolet,new,2420.0,crossover,9.0,30845,0.0,,,,,electric,1D,FWD,Hatchback,,,3
2022,Chevrolet,certified pre-owned,1270.0,convertible,6257.0,93998,8.0,6.2,V,490.0,465.0,gas,8A,RWD,High-Performance,24.0,16.0,8
2015,Chevrolet,used,1254.0,truck,48685.0,32445,8.0,6.0,V,360.0,380.0,flex-fuel (FFV),6A,AWD,"Flex Fuel,Diesel",,,3
2024,Chevrolet,new,1279.0,truck,2.0,58815,,,,,,,,,,,,5
2021,Cadillac,used,2127.0,suv,35819.0,29985,4.0,2.0,inline,237.0,258.0,gas,9A,FWD,"Luxury,Crossover",29.0,22.0,3
2024,GMC,new,1123.0,truck,2.0,91790,8.0,6.6,V,401.0,464.0,gas,10A,AWD,Diesel,,,8
2024,Infiniti,new,2279.0,suv,6.0,69685,6.0,3.5,V,295.0,270.0,gas,9A,AWD,"Luxury,Crossover",25.0,20.0,6
2020,Nissan,certified pre-owned,1506.0,truck,42321.0,37988,8.0,5.6,V,400.0,413.0,gas,9A,AWD,,21.0,15.0,4
2019,Toyota,used,894.0,truck,70102.0,42988,8.0,5.7,V,381.0,401.0,gas,6A,AWD,,17.0,13.0,4
2023,Nissan,new,1487.0,crossover,6.0,26409,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,37.0,30.0,3
2023,Nissan,new,1487.0,crossover,3.0,26527,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,37.0,30.0,3
2024,Nissan,new,1512.0,sedan,3.0,23972,4.0,2.0,inline,149.0,146.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2023,Nissan,new,1487.0,crossover,5.0,28959,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,37.0,30.0,3
2022,Subaru,used,1083.0,coupe,17726.0,28788,4.0,2.4,flat,228.0,184.0,gas,6A,RWD,Performance,30.0,21.0,3
2023,Nissan,new,1487.0,crossover,7.0,26409,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,37.0,30.0,3
2022,Toyota,used,909.0,sedan,69989.0,18981,4.0,2.0,inline,169.0,151.0,gas,Continuously Variable,FWD,,,31.0,2
2020,GMC,used,1145.0,truck,90222.0,35777,8.0,5.3,V,355.0,383.0,gas,10A,AWD,Diesel,21.0,16.0,3
2024,Nissan,new,1512.0,sedan,6.0,19725,4.0,2.0,inline,149.0,146.0,gas,Continuously Variable,FWD,,40.0,30.0,2
2024,Nissan,new,1512.0,sedan,7.0,19725,4.0,2.0,inline,149.0,146.0,gas,Continuously Variable,FWD,,40.0,30.0,2
2024,Nissan,new,1496.0,suv,,44811,6.0,3.5,V,260.0,240.0,gas,Continuously Variable,FWD,Crossover,28.0,20.0,4
2016,Hyundai,used,1064.0,suv,71004.0,12499,4.0,2.0,inline,164.0,151.0,gas,6A,FWD,Crossover,31.0,23.0,1
2024,Chevrolet,new,1236.0,coupe,2.0,54755,8.0,6.2,V,455.0,455.0,gas,6M,RWD,High-Performance,24.0,16.0,5
2017,Porsche,used,1881.0,suv,80807.0,22489,6.0,3.0,V,340.0,339.0,gas,7A,AWD,"Luxury,Crossover,Performance",23.0,17.0,2
2018,Alfa Romeo,used,2180.0,sedan,30986.0,22989,4.0,2.0,inline,280.0,306.0,gas,8A,RWD,"Luxury,Performance",33.0,24.0,2
2023,Alfa Romeo,new,2180.0,sedan,,45086,4.0,2.0,inline,280.0,306.0,gas,8A,RWD,"Luxury,Performance",33.0,24.0,4
2024,Mazda,new,2346.0,suv,,28100,4.0,2.5,inline,191.0,186.0,gas,6A,AWD,Crossover,33.0,26.0,3
2024,Mazda,new,2346.0,suv,1.0,31490,4.0,2.5,inline,191.0,186.0,gas,6A,AWD,Crossover,33.0,26.0,3
2023,Nissan,new,1487.0,crossover,2.0,32206,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,36.0,29.0,3
2023,Nissan,new,1487.0,crossover,5.0,32445,3.0,1.5,inline,201.0,225.0,gas,Continuously Variable,FWD,Crossover,36.0,29.0,3
2024,Mazda,new,1550.0,suv,,37015,4.0,2.5,inline,187.0,186.0,gas,6A,AWD,Crossover,29.0,23.0,3
2024,Mazda,new,1550.0,suv,,31570,4.0,2.5,inline,187.0,186.0,gas,6A,AWD,Crossover,29.0,23.0,3
2024,Mazda,new,1550.0,suv,,33050,4.0,2.5,inline,187.0,186.0,gas,6A,AWD,Crossover,29.0,23.0,3
2024,Mazda,new,1550.0,suv,,42720,4.0,2.5,inline,227.0,310.0,gas,6A,AWD,Crossover,27.0,22.0,4
2014,Chevrolet,used,1279.0,truck,154735.0,15774,6.0,4.3,V,285.0,305.0,flex-fuel (FFV),6A,RWD,Flex Fuel,24.0,18.0,2
2023,Ford,new,975.0,suv,785.0,28495,3.0,1.5,inline,180.0,199.0,gas,8A,FWD,Crossover,34.0,27.0,3
2024,Subaru,new,1090.0,wagon,,32187,4.0,2.5,flat,182.0,178.0,gas,Continuously Variable,AWD,Hatchback,33.0,26.0,3
2023,Subaru,new,2031.0,sedan,,35332,4.0,2.4,flat,271.0,258.0,gas,6M,AWD,Performance,26.0,19.0,3
2024,Subaru,new,1076.0,crossover,,31339,4.0,2.0,flat,152.0,145.0,gas,Continuously Variable,AWD,Crossover,34.0,37.0,3
2024,Subaru,new,1076.0,crossover,,31339,4.0,2.0,flat,152.0,145.0,gas,Continuously Variable,AWD,Crossover,34.0,37.0,3
2024,Subaru,new,1089.0,crossover,,32597,4.0,2.5,flat,182.0,176.0,gas,Continuously Variable,AWD,Crossover,33.0,26.0,3
2024,Subaru,new,1089.0,crossover,,33754,4.0,2.5,flat,182.0,176.0,gas,Continuously Variable,AWD,Crossover,33.0,26.0,3
2024,Subaru,new,1089.0,crossover,,38557,4.0,2.5,flat,182.0,176.0,gas,Continuously Variable,AWD,Crossover,33.0,26.0,4
2024,Subaru,new,1089.0,crossover,,40268,4.0,2.5,flat,182.0,176.0,gas,Continuously Variable,AWD,Crossover,33.0,26.0,4
2024,Chevrolet,new,1252.0,suv,2.0,30385,4.0,1.5,inline,175.0,203.0,gas,6A,FWD,Crossover,31.0,26.0,3
2024,Chevrolet,new,1248.0,sedan,1.0,23695,4.0,1.5,inline,160.0,184.0,gas,Continuously Variable,FWD,,35.0,27.0,2
2024,Chevrolet,new,1279.0,truck,4.0,41800,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,4
2024,Chevrolet,new,1279.0,truck,2.0,46990,4.0,2.7,inline,310.0,430.0,gas,8A,RWD,,22.0,18.0,4
2013,Volkswagen,used,1645.0,sedan,145360.0,5998,5.0,2.5,inline,170.0,177.0,gas,,FWD,,,22.0,1
2023,Chevrolet,new,1279.0,truck,5514.0,48170,8.0,5.3,V,355.0,383.0,gas,10A,RWD,"Diesel,Performance",21.0,17.0,4
2018,Jeep,used,1403.0,suv,69607.0,27899,6.0,3.6,V,285.0,260.0,gas,6M,AWD,,23.0,17.0,3
2020,BMW,used,1322.0,suv,72213.0,32999,6.0,3.0,inline,335.0,330.0,gas,8A,RWD,"Luxury,Crossover,Performance",26.0,21.0,3
2014,Infiniti,used,2282.0,coupe,113433.0,10999,6.0,3.7,V,,,gas,,RWD,,,,1
2017,Volkswagen,used,1645.0,sedan,86831.0,11699,4.0,1.8,inline,170.0,184.0,gas,6A,FWD,,34.0,23.0,1
2016,Volkswagen,used,2066.0,hatchback,89267.0,13999,4.0,2.0,inline,220.0,258.0,gas,6A,FWD,"Performance,Hatchback",33.0,25.0,2
