year,make,condition,modelId,bodyStyle,mileageUnformatted,priceUnformatted,cylinder_engine,size_engine,configuration_engine,horsepower_engine,torque_engine,type_engine,name_transmission,drivenWheels,market_categories,highway_mpg,city_mpg,segment
2020,Toyota,used,894.0,truck,74457.0,29199,8.0,5.7,V,381.0,401.0,gas,6A,AWD,,17.0,13.0,3
2022,Ford,used,975.0,suv,24343.0,17999,3.0,1.5,inline,181.0,190.0,gas,8A,FWD,Crossover,34.0,28.0,2
2021,Nissan,used,1506.0,truck,26714.0,28199,8.0,5.6,V,400.0,413.0,gas,9A,RWD,,21.0,15.0,3
2019,Honda,used,862.0,sedan,41640.0,22139,4.0,1.5,inline,205.0,192.0,gas,6M,FWD,"Factory Tuner,Performance",38.0,28.0,2
2020,Hyundai,used,1058.0,sedan,55791.0,12995,4.0,2.0,inline,147.0,132.0,gas,Continuously Variable,FWD,,40.0,30.0,2
2020,Cadillac,used,2333.0,sedan,25918.0,26599,4.0,2.0,inline,237.0,258.0,gas,10A,RWD,Luxury,32.0,23.0,3
2018,Toyota,used,906.0,truck,85333.0,19499,4.0,2.7,inline,159.0,180.0,gas,6A,RWD,,23.0,20.0,2
2008,Ford,used,994.0,coupe,59578.0,27999,8.0,5.4,V,500.0,480.0,gas,6M,RWD,"Factory Tuner,High-Performance",20.0,14.0,3
2021,Ford,used,2371.0,suv,38787.0,23399,3.0,1.5,inline,181.0,190.0,gas,8A,AWD,Crossover,28.0,25.0,2
2018,Ford,used,957.0,truck,84442.0,22989,,,V,,,gas,,AWD,Diesel,,,2
2023,Kia,used,1729.0,suv,15904.0,21899,4.0,2.5,inline,187.0,178.0,gas,8A,FWD,Crossover,32.0,25.0,2
2020,Ram,used,1711.0,truck,53849.0,29249,6.0,3.6,V,305.0,269.0,mild hybrid,8A,AWD,Diesel,24.0,19.0,3
2022,Volkswagen,used,1657.0,suv,13698.0,25999,4.0,2.0,inline,184.0,221.0,gas,8A,AWD,Crossover,28.0,21.0,3
2021,Toyota,used,909.0,sedan,55182.0,14799,4.0,1.8,inline,139.0,126.0,gas,Continuously Variable,FWD,,38.0,30.0,2
2013,BMW,used,1335.0,sedan,88602.0,10749,4.0,2.0,inline,240.0,260.0,gas,8A,AWD,Luxury,32.0,22.0,1
2013,BMW,used,1336.0,sedan,69011.0,15699,8.0,4.4,V,,,gas,8A,RWD,,,,2
2019,Audi,used,1373.0,sedan,43318.0,21299,4.0,2.0,inline,248.0,273.0,gas,7A,AWD,"Luxury,Performance",34.0,23.0,2
2021,Kia,used,2369.0,sedan,64853.0,16990,4.0,1.6,inline,180.0,195.0,gas,8A,,,,,2
2020,Toyota,used,906.0,truck,102661.0,22399,6.0,3.5,V,278.0,265.0,gas,6A,RWD,,24.0,19.0,2
2023,Mitsubishi,used,2231.0,crossover,2900.0,22699,4.0,1.5,inline,152.0,184.0,gas,Continuously Variable,AWD,Crossover,28.0,25.0,2
2018,Toyota,used,883.0,sedan,49205.0,22399,6.0,3.5,V,301.0,267.0,gas,8A,FWD,High-Performance,32.0,22.0,2
2019,Volkswagen,used,1667.0,sedan,33047.0,15499,4.0,1.4,inline,147.0,184.0,gas,8A,FWD,,40.0,30.0,2
2020,Volkswagen,used,1645.0,sedan,89312.0,14599,4.0,2.0,inline,174.0,206.0,gas,6A,FWD,,34.0,23.0,2
2018,Dodge,used,1418.0,minivan,104166.0,11299,6.0,3.6,V,283.0,260.0,gas,6A,FWD,,25.0,17.0,1
2020,Ford,used,969.0,coupe,27381.0,22899,4.0,2.3,inline,310.0,350.0,gas,6M,RWD,Performance,30.0,21.0,2
2022,Chrysler,used,1297.0,minivan,44850.0,24999,6.0,3.6,V,287.0,262.0,gas,9A,FWD,Performance,28.0,19.0,2
2013,Audi,used,1381.0,coupe,78832.0,11199,4.0,2.0,inline,211.0,258.0,gas,8A,AWD,Luxury,30.0,20.0,1
2017,Porsche,used,1881.0,suv,94552.0,21899,6.0,3.0,V,340.0,339.0,gas,7A,AWD,"Luxury,Crossover,Performance",23.0,17.0,2
2019,Toyota,used,883.0,sedan,85634.0,14698,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,,,2
2022,Toyota,used,883.0,sedan,35673.0,21449,4.0,2.5,inline,203.0,184.0,gas,8A,FWD,,39.0,28.0,2
2013,Mercedes-Benz,used,1030.0,sedan,79151.0,12149,6.0,3.5,V,302.0,273.0,gas,7A,RWD,"Luxury,Performance",30.0,20.0,1
2013,Mercedes-Benz,used,1030.0,coupe,103431.0,12499,8.0,4.7,V,402.0,443.0,gas,7A,RWD,"Luxury,High-Performance",27.0,17.0,1
2021,Ford,used,2367.0,suv,48158.0,27499,0.0,,,,,electric,1D,RWD,Hatchback,,,3
2020,Chevrolet,used,1238.0,truck,125598.0,12498,4.0,2.5,inline,200.0,191.0,gas,6A,RWD,,26.0,20.0,1
2015,Lexus,used,1919.0,hatchback,59828.0,14999,4.0,1.8,inline,134.0,142.0,hybrid,Continuously Variable,FWD,"Luxury,Hybrid,Hatchback",40.0,43.0,2
2013,BMW,used,1335.0,sedan,60855.0,10499,4.0,2.0,inline,240.0,260.0,gas,8A,RWD,Luxury,34.0,23.0,1
2015,Mercedes-Benz,used,1018.0,coupe,39894.0,11999,4.0,1.8,inline,201.0,229.0,gas,7A,RWD,Luxury,31.0,22.0,1
2019,Jeep,used,1412.0,suv,61596.0,13599,4.0,2.4,inline,180.0,175.0,gas,6M,FWD,Crossover,32.0,23.0,2
2018,BMW,used,1320.0,sedan,89979.0,16699,4.0,2.0,inline,248.0,258.0,gas,8A,RWD,"Luxury,Performance",34.0,24.0,2
2021,Volkswagen,used,2173.0,suv,60317.0,22899,6.0,3.6,V,276.0,266.0,gas,8A,FWD,"Crossover,Performance",23.0,17.0,2
2015,Nissan,used,1497.0,hatchback,41408.0,6999,0.0,,,,,electric,1D,FWD,Hatchback,,,1
2014,Mitsubishi,used,1809.0,sedan,107000.0,5499,4.0,2.0,inline,148.0,145.0,gas,,FWD,,34.0,,1
2015,Land Rover,used,1043.0,suv,93701.0,13299,4.0,2.0,inline,240.0,250.0,gas,9A,AWD,"Luxury,Crossover",30.0,21.0,2
2019,Lexus,used,1886.0,suv,51500.0,30499,8.0,4.6,V,301.0,329.0,gas,6A,AWD,Luxury,18.0,15.0,3
2017,Dodge,used,1472.0,sedan,73954.0,21299,8.0,5.7,V,370.0,395.0,gas,8A,RWD,High-Performance,25.0,16.0,2
2015,BMW,used,1333.0,convertible,58740.0,17999,4.0,2.0,inline,240.0,255.0,gas,8A,RWD,Luxury,34.0,23.0,2
2020,Chevrolet,used,1248.0,sedan,49615.0,13599,4.0,1.5,inline,160.0,184.0,gas,Continuously Variable,FWD,,36.0,29.0,2
2019,Volkswagen,used,2173.0,suv,33237.0,24299,6.0,3.6,V,276.0,266.0,gas,8A,FWD,,24.0,17.0,2
2020,Ford,used,959.0,sedan,49639.0,14599,4.0,2.0,inline,188.0,129.0,hybrid,Continuously Variable,FWD,Hybrid,41.0,43.0,2
2020,Toyota,used,906.0,truck,183573.0,13499,4.0,2.7,inline,159.0,180.0,gas,6A,RWD,,23.0,20.0,2
2018,Audi,used,1361.0,suv,75231.0,18999,4.0,2.0,inline,252.0,273.0,gas,7A,AWD,"Luxury,Crossover",27.0,23.0,2
2021,Toyota,used,880.0,suv,63335.0,20999,4.0,2.5,inline,203.0,184.0,gas,8A,AWD,Crossover,33.0,27.0,2
2017,Genesis,used,2144.0,sedan,74360.0,17997,6.0,3.8,V,311.0,293.0,gas,8A,,"Luxury,Performance",,,2
