modelId,make_model
878.0,Toyota Avalon Hybrid
869.0,Honda Fit
1491.0,Nissan Pathfinder
2346.0,Mazda CX-30
2563.0,Toyota Crown
2181.0,Chrysler Pacifica Hybrid
1911.0,Lexus RX 450h
2512.0,Mazda CX-50
2457.0,GMC HUMMER EV
1821.0,Mitsubishi Outlander Sport
2282.0,Infiniti Q60
992.0,Ford Fiesta
2294.0,Jeep Gladiator
2617.0,Toyota Grand Highlander
2343.0,Kia Seltos
2121.0,Cadillac CT6
1008.0,Mercedes-Benz SL-Class
1347.0,Acura RLX
2049.0,Audi S3
984.0,Ford C-MAX Hybrid
1217.0,Chevrolet Aveo
2153.0,Toyota Yaris iA
1436.0,Dodge Avenger
1541.0,Cadillac SRX
2530.0,Dodge Hornet
2063.0,Infiniti Q70L
1509.0,Nissan JUKE
2163.0,Kia Optima Plug-In Hybrid
1432.0,Dodge Ram 1500
2293.0,Mercedes-Benz A-Class
1530.0,Cadillac CTS
2135.0,Mitsubishi Mirage G4
2065.0,Volkswagen e-Golf
2568.0,Wagoneer Grand Wagoneer
871.0,Honda S2000
1060.0,Hyundai Elantra GT
1766.0,Volvo V60
2060.0,Acura TLX
2006.0,Tesla Model S
1469.0,Dodge Journey
1916.0,Lexus ES 300h
1755.0,Maserati Ghibli
1657.0,Volkswagen Tiguan
1066.0,Hyundai Sonata
2092.0,Honda HR-V
1496.0,Nissan Murano
994.0,Ford Shelby GT500
1018.0,Mercedes-Benz C-Class
2367.0,Ford Mustang Mach-E
898.0,Toyota Camry Hybrid
1361.0,Audi Q5
1808.0,Mitsubishi Outlander
2250.0,Lincoln Nautilus
1617.0,Infiniti Q50
2536.0,Hyundai IONIQ 6
2263.0,Lexus UX 200
2158.0,Toyota Corolla iM
1180.0,Lincoln Navigator L
889.0,Toyota Highlander Hybrid
2300.0,Cadillac XT6
2133.0,Maserati Levante
1071.0,FIAT 500e
903.0,Toyota Avalon
2118.0,Buick Cascada
1725.0,Kia K900
2254.0,Genesis G70
1710.0,Ram 3500
945.0,Ford Fusion Energi
1403.0,Jeep Wrangler Unlimited
2157.0,Toyota Prius Prime
2380.0,Lexus LC 500 Convertible
2295.0,Kia Telluride
1922.0,Buick LaCrosse
2226.0,Kia Niro Plug-In Hybrid
