make,model,modelId,make_model
Toyota,Highlander Hybrid,889.0,Toyota Highlander Hybrid
Toyota,Corolla Hatchback,2253.0,Toyota Corolla Hatchback
Nissan,Rogue,1487.0,Nissan Rogue
Buick,Enclave,1928.0,Buick Enclave
Toyota,GR86,2427.0,Toyota GR86
Hyundai,Equus,1048.0,Hyundai Equus
Ford,Maverick,2463.0,Ford Maverick
Ford,Transit Chassis,,Ford Transit Chassis
Hyundai,Ioniq 5,2432.0,Hyundai Ioniq 5
Cadillac,XTS,1531.0,Cadillac XTS
Toyota,C-HR,2182.0,Toyota C-HR
Ford,Transit,2325.0,Ford Transit
Chevrolet,Cruze,1259.0,Chevrolet Cruze
Buick,Cascada,2118.0,Buick Cascada
Kia,K900,1725.0,Kia K900
Toyota,Prius c,907.0,Toyota Prius c
Buick,Encore GX,2334.0,Buick Encore GX
GMC,Sierra 3500HD,1152.0,GMC Sierra 3500HD
Mazda,CX-50,2512.0,Mazda CX-50
GMC,HUMMER EV,2457.0,GMC HUMMER EV
Mitsubishi,Mirage,1798.0,Mitsubishi Mirage
Lexus,LC 500 Convertible,2380.0,Lexus LC 500 Convertible
Mercedes-Benz,B-Class,2084.0,Mercedes-Benz B-Class
Kia,Telluride,2295.0,Kia Telluride
Kia,Sedona,1732.0,Kia Sedona
Mercedes-Benz,EQE,2522.0,Mercedes-Benz EQE
Toyota,Yaris iA,2153.0,Toyota Yaris iA
Mazda,CX-3,2120.0,Mazda CX-3
Volvo,V90 Cross Country,2150.0,Volvo V90 Cross Country
Nissan,JUKE,1509.0,Nissan JUKE
Tesla,Model X,2101.0,Tesla Model X
Mercedes-Benz,GLK,1036.0,Mercedes-Benz GLK
Kia,Optima Plug-In Hybrid,2163.0,Kia Optima Plug-In Hybrid
Ram,ProMaster City,2076.0,Ram ProMaster City
BMW,M5,1319.0,BMW M5
BMW,1 Series,1338.0,BMW 1 Series
MINI,Convertible,2072.0,MINI Convertible
Bentley,Continental GT Speed,1100.0,Bentley Continental GT Speed
Audi,TT,1374.0,Audi TT
Chevrolet,Spark EV,1221.0,Chevrolet Spark EV
Volvo,V60,1766.0,Volvo V60
Hyundai,Kona Electric,2276.0,Hyundai Kona Electric
Acura,TLX,2060.0,Acura TLX
Lexus,UX 250h,2267.0,Lexus UX 250h
Lexus,IS 300,1893.0,Lexus IS 300
Hyundai,Kona,2224.0,Hyundai Kona
Chevrolet,Silverado 1500,1279.0,Chevrolet Silverado 1500
Hyundai,Santa Fe,1056.0,Hyundai Santa Fe
Genesis,G90,2151.0,Genesis G90
Maserati,Quattroporte,1758.0,Maserati Quattroporte
Toyota,RAV4,880.0,Toyota RAV4
Hyundai,Elantra,1058.0,Hyundai Elantra
MINI,Clubman,2067.0,MINI Clubman
Genesis,G80,2144.0,Genesis G80
Hyundai,Tucson,1064.0,Hyundai Tucson
Mercedes-Benz,S-Class,1019.0,Mercedes-Benz S-Class
BMW,X4,2046.0,BMW X4
Lexus,LS 460,1883.0,Lexus LS 460
Chevrolet,Express,1204.0,Chevrolet Express
Honda,Accord,856.0,Honda Accord
Ram,2500,1715.0,Ram 2500
Chevrolet,Tahoe,1276.0,Chevrolet Tahoe
Nissan,Xterra,1490.0,Nissan Xterra
GMC,Yukon XL,1122.0,GMC Yukon XL
Toyota,Corolla iM,2158.0,Toyota Corolla iM
Toyota,Prius,885.0,Toyota Prius
Kia,Optima,1720.0,Kia Optima
Lincoln,Navigator L,1180.0,Lincoln Navigator L
Chevrolet,Silverado 3500HD,1281.0,Chevrolet Silverado 3500HD
Nissan,Kicks,2248.0,Nissan Kicks
Chevrolet,Suburban,1240.0,Chevrolet Suburban
Lincoln,Aviator,1193.0,Lincoln Aviator
Acura,MDX,1346.0,Acura MDX
Cadillac,Escalade,1526.0,Cadillac Escalade
Acura,RDX,1341.0,Acura RDX
Lexus,RX 350h,2555.0,Lexus RX 350h
Infiniti,QX50,1616.0,Infiniti QX50
GMC,Canyon,1118.0,GMC Canyon
Toyota,Avalon Hybrid,878.0,Toyota Avalon Hybrid
MINI,Hardtop 2 Door,2358.0,MINI Hardtop 2 Door
Infiniti,QX60,2279.0,Infiniti QX60
Chevrolet,Impala,1241.0,Chevrolet Impala
Mazda,CX-90,2559.0,Mazda CX-90
Volkswagen,Golf GTI,2066.0,Volkswagen Golf GTI
Toyota,Prius Prime,2157.0,Toyota Prius Prime
Nissan,NV200,1494.0,Nissan NV200
Subaru,Impreza,1090.0,Subaru Impreza
Lexus,GS 350,1891.0,Lexus GS 350
Toyota,Prius v,902.0,Toyota Prius v
Scion,xB,1790.0,Scion xB
BMW,i3,2025.0,BMW i3
Subaru,Legacy,1080.0,Subaru Legacy
BMW,X6,1317.0,BMW X6
Infiniti,G37,1613.0,Infiniti G37
Toyota,Land Cruiser,892.0,Toyota Land Cruiser
Volkswagen,Arteon,2306.0,Volkswagen Arteon
Ford,Escape Hybrid,966.0,Ford Escape Hybrid
Toyota,Matrix,875.0,Toyota Matrix
Volkswagen,Golf R,1665.0,Volkswagen Golf R
Nissan,Ariya,2560.0,Nissan Ariya
BMW,M4,2047.0,BMW M4
Buick,Lucerne,1923.0,Buick Lucerne
Jaguar,E-PACE,2202.0,Jaguar E-PACE
Genesis,GV70,2411.0,Genesis GV70
Cadillac,Eldorado,1537.0,Cadillac Eldorado
Lexus,RC 200t,2117.0,Lexus RC 200t
MINI,Hardtop 4 Door,2339.0,MINI Hardtop 4 Door
Audi,S5 Sportback,2174.0,Audi S5 Sportback
Lexus,RC 300,2113.0,Lexus RC 300
Volkswagen,Golf SportWagen,2064.0,Volkswagen Golf SportWagen
Lexus,ES 300h,1916.0,Lexus ES 300h
Toyota,Tacoma,906.0,Toyota Tacoma
Mercedes-Benz,GLA,2082.0,Mercedes-Benz GLA
Jeep,Grand Cherokee L,2408.0,Jeep Grand Cherokee L
Toyota,Corolla,909.0,Toyota Corolla
Nissan,Titan,1506.0,Nissan Titan
Audi,A5 Sportback,2172.0,Audi A5 Sportback
Ford,Mustang,969.0,Ford Mustang
Ford,Mustang Mach-E,2367.0,Ford Mustang Mach-E
Toyota,Camry Hybrid,898.0,Toyota Camry Hybrid
Dodge,Charger,1472.0,Dodge Charger
Audi,S4,1364.0,Audi S4
Honda,Crosstour,858.0,Honda Crosstour
Chevrolet,Equinox,1252.0,Chevrolet Equinox
Lincoln,Nautilus,2250.0,Lincoln Nautilus
Tesla,Model 3,2217.0,Tesla Model 3
Honda,CR-V,867.0,Honda CR-V
Chevrolet,Impala Limited,1269.0,Chevrolet Impala Limited
Toyota,Corolla Hybrid,2292.0,Toyota Corolla Hybrid
Toyota,Highlander,886.0,Toyota Highlander
Jaguar,I-PACE,2251.0,Jaguar I-PACE
Lexus,UX 200,2263.0,Lexus UX 200
Hyundai,Veloster N,2273.0,Hyundai Veloster N
Chevrolet,Trax,2042.0,Chevrolet Trax
Ford,Edge,955.0,Ford Edge
Ford,Transit Connect,998.0,Ford Transit Connect
Ford,E-Transit,2421.0,Ford E-Transit
Hyundai,Palisade,2304.0,Hyundai Palisade
Cadillac,XT6,2300.0,Cadillac XT6
Toyota,Sequoia,899.0,Toyota Sequoia
Jeep,Patriot,1416.0,Jeep Patriot
Audi,Q7,1371.0,Audi Q7
Mazda,Mazda3 Hatchback,2381.0,Mazda Mazda3 Hatchback
Honda,Fit,869.0,Honda Fit
Nissan,Pathfinder,1491.0,Nissan Pathfinder
Hyundai,Santa Fe Hybrid,2451.0,Hyundai Santa Fe Hybrid
Toyota,Crown,2563.0,Toyota Crown
Lexus,RC 350,2089.0,Lexus RC 350
Chevrolet,Volt,1200.0,Chevrolet Volt
Lexus,NX 300,2188.0,Lexus NX 300
Subaru,Outback,1087.0,Subaru Outback
GMC,Yukon,1121.0,GMC Yukon
Chevrolet,Bolt EUV,2420.0,Chevrolet Bolt EUV
Nissan,Rogue Hybrid,2178.0,Nissan Rogue Hybrid
Honda,Insight,864.0,Honda Insight
Ford,Fiesta,992.0,Ford Fiesta
Jeep,Gladiator,2294.0,Jeep Gladiator
Acura,TL,1340.0,Acura TL
Cadillac,ATS,1529.0,Cadillac ATS
Hyundai,Nexo,2269.0,Hyundai Nexo
Lincoln,MKZ,1187.0,Lincoln MKZ
BMW,Z4,1331.0,BMW Z4
Nissan,Z,2579.0,Nissan Z
Toyota,Corolla Cross,2449.0,Toyota Corolla Cross
Audi,A4 allroad,2050.0,Audi A4 allroad
Kia,Soul EV,2093.0,Kia Soul EV
Ford,F-450 Super Duty,985.0,Ford F-450 Super Duty
GMC,Sierra 1500 Limited,2256.0,GMC Sierra 1500 Limited
Dodge,Hornet,2530.0,Dodge Hornet
Dodge,Ram 1500,1432.0,Dodge Ram 1500
Scion,FR-S,1787.0,Scion FR-S
Infiniti,G35,1600.0,Infiniti G35
Alfa Romeo,Tonale,2572.0,Alfa Romeo Tonale
Lexus,LX 570,1884.0,Lexus LX 570
Maserati,Ghibli,1755.0,Maserati Ghibli
Audi,e-tron,2301.0,Audi e-tron
Mercedes-Benz,C-Class,1018.0,Mercedes-Benz C-Class
Volkswagen,Jetta,1667.0,Volkswagen Jetta
Chrysler,Pacifica,1297.0,Chrysler Pacifica
Jeep,Compass,1412.0,Jeep Compass
Alfa Romeo,Giulia,2180.0,Alfa Romeo Giulia
Audi,Q5,1361.0,Audi Q5
BMW,X1,1327.0,BMW X1
Chevrolet,Corvette,1270.0,Chevrolet Corvette
Nissan,Altima,1511.0,Nissan Altima
Ram,1500 Classic,2258.0,Ram 1500 Classic
Toyota,4Runner,908.0,Toyota 4Runner
Cadillac,XT5,2127.0,Cadillac XT5
Lincoln,MKZ Hybrid,1182.0,Lincoln MKZ Hybrid
Nissan,Versa,1516.0,Nissan Versa
Ford,Focus,963.0,Ford Focus
Dodge,Dart,1430.0,Dodge Dart
Kia,Sorento,1736.0,Kia Sorento
Toyota,Sienna,911.0,Toyota Sienna
Chevrolet,Spark,1198.0,Chevrolet Spark
Audi,A3,1357.0,Audi A3
Tesla,Model Y,2357.0,Tesla Model Y
Chrysler,PT Cruiser,1290.0,Chrysler PT Cruiser
Nissan,Titan XD,2130.0,Nissan Titan XD
Toyota,GR Corolla,2564.0,Toyota GR Corolla
Lexus,RX 350,1917.0,Lexus RX 350
Land Rover,Range Rover Sport,1042.0,Land Rover Range Rover Sport
Nissan,NV,1493.0,Nissan NV
Cadillac,CT5-V,2410.0,Cadillac CT5-V
Mercedes-Benz,M-Class,1035.0,Mercedes-Benz M-Class
Chevrolet,Sonic,1247.0,Chevrolet Sonic
Volkswagen,Golf,1642.0,Volkswagen Golf
Volkswagen,Beetle,1658.0,Volkswagen Beetle
Kia,Optima Hybrid,1724.0,Kia Optima Hybrid
BMW,X7,2281.0,BMW X7
Porsche,Cayenne,1873.0,Porsche Cayenne
Volkswagen,Taos,2456.0,Volkswagen Taos
Lincoln,Corsair,2309.0,Lincoln Corsair
Subaru,Ascent,2233.0,Subaru Ascent
Chrysler,Voyager,1294.0,Chrysler Voyager
Volvo,C30,1783.0,Volvo C30
Acura,Integra,1349.0,Acura Integra
Mitsubishi,Outlander Sport,1821.0,Mitsubishi Outlander Sport
Mercedes-Benz,G-Class,1013.0,Mercedes-Benz G-Class
Jaguar,XE,2123.0,Jaguar XE
Honda,Passport,861.0,Honda Passport
Ford,F-550 Super Duty Chassis,,Ford F-550 Super Duty Chassis
Wagoneer,Wagoneer L,2571.0,Wagoneer Wagoneer L
Chevrolet,Blazer EV,2635.0,Chevrolet Blazer EV
Mercedes-Benz,SL-Class,1008.0,Mercedes-Benz SL-Class
Lexus,ES 250,1900.0,Lexus ES 250
Cadillac,LYRIQ,2516.0,Cadillac LYRIQ
Audi,S3,2049.0,Audi S3
Polestar,2,2374.0,Polestar 2
Cadillac,SRX,1541.0,Cadillac SRX
Infiniti,Q70L,2063.0,Infiniti Q70L
BMW,M3,1321.0,BMW M3
Mercedes-Benz,A-Class,2293.0,Mercedes-Benz A-Class
Toyota,Yaris,900.0,Toyota Yaris
Wagoneer,Grand Wagoneer,2568.0,Wagoneer Grand Wagoneer
GMC,Envoy,1146.0,GMC Envoy
Chrysler,Town and Country,1315.0,Chrysler Town and Country
